texto,classe
Excelente qualidade e entrega rápida.,positivo
"Não recomendo, experiência ruim.",negativo
"Tudo certinho, ótima experiência.",positivo
Frustrado com o serviço.,negativo
Muito satisfeito com a compra.,positivo
Entrega atrasada e produto errado.,negativo
Muito satisfeito com a compra.,positivo
"Péssima qualidade, arrependido.",negativo
"Serviço incrível, superou minhas expectativas.",positivo
Frustrado com o serviço.,negativo
"Serviço incrível, superou minhas expectativas.",positivo
Fui mal atendido e não resolveram meu problema.,negativo
Excelente qualidade e entrega rápida.,positivo
O atendimento foi péssimo e demorado.,negativo
"Muito bom, voltarei a comprar.",positivo
Entrega atrasada e produto errado.,negativo
"Muito bom, voltarei a comprar.",positivo
Demorou muito e veio quebrado.,negativo
Excelente qualidade e entrega rápida.,positivo
"Muito ruim, nunca mais compro aqui.",negativo
Produto chegou antes do prazo. Amei!,positivo
"Péssima qualidade, arrependido.",negativo
"Tudo certinho, ótima experiência.",positivo
"Não recomendo, experiência ruim.",negativo
"Muito bom, voltarei a comprar.",positivo
Frustrado com o serviço.,negativo
"Eu adorei esse produto, recomendo!",positivo
Fui mal atendido e não resolveram meu problema.,negativo
"Serviço incrível, superou minhas expectativas.",positivo
"Não recomendo, experiência ruim.",negativo
Muito satisfeito com a compra.,positivo
"Não recomendo, experiência ruim.",negativo
"Tudo certinho, ótima experiência.",positivo
Frustrado com o serviço.,negativo
"Eu adorei esse produto, recomendo!",positivo
Entrega atrasada e produto errado.,negativo
Simplesmente maravilhoso!,positivo
Fui mal atendido e não resolveram meu problema.,negativo
Simplesmente maravilhoso!,positivo
Produto diferente do anunciado.,negativo
Simplesmente maravilhoso!,positivo
"Produto veio com defeito, não gostei.",negativo
Muito satisfeito com a compra.,positivo
Frustrado com o serviço.,negativo
Simplesmente maravilhoso!,positivo
"Muito ruim, nunca mais compro aqui.",negativo
"Muito bom, voltarei a comprar.",positivo
O atendimento foi péssimo e demorado.,negativo
"Tudo certinho, ótima experiência.",positivo
Demorou muito e veio quebrado.,negativo
Muito satisfeito com a compra.,positivo
Entrega atrasada e produto errado.,negativo
"Eu adorei esse produto, recomendo!",positivo
Demorou muito e veio quebrado.,negativo
"Loja confiável, recomendo muito.",positivo
"Não recomendo, experiência ruim.",negativo
Atendimento perfeito e produto de primeira.,positivo
Frustrado com o serviço.,negativo
"Tudo certinho, ótima experiência.",positivo
"Produto veio com defeito, não gostei.",negativo
"Serviço incrível, superou minhas expectativas.",positivo
"Péssima qualidade, arrependido.",negativo
"Muito bom, voltarei a comprar.",positivo
"Não recomendo, experiência ruim.",negativo
Simplesmente maravilhoso!,positivo
Fui mal atendido e não resolveram meu problema.,negativo
Muito satisfeito com a compra.,positivo
"Produto veio com defeito, não gostei.",negativo
"Serviço incrível, superou minhas expectativas.",positivo
"Péssima qualidade, arrependido.",negativo
"Serviço incrível, superou minhas expectativas.",positivo
"Não recomendo, experiência ruim.",negativo
"Serviço incrível, superou minhas expectativas.",positivo
Fui mal atendido e não resolveram meu problema.,negativo
Simplesmente maravilhoso!,positivo
"Péssima qualidade, arrependido.",negativo
Muito satisfeito com a compra.,positivo
Produto diferente do anunciado.,negativo
"Tudo certinho, ótima experiência.",positivo
O atendimento foi péssimo e demorado.,negativo
"Eu adorei esse produto, recomendo!",positivo
"Muito ruim, nunca mais compro aqui.",negativo
Simplesmente maravilhoso!,positivo
"Muito ruim, nunca mais compro aqui.",negativo
"Eu adorei esse produto, recomendo!",positivo
Frustrado com o serviço.,negativo
"Loja confiável, recomendo muito.",positivo
"Muito ruim, nunca mais compro aqui.",negativo
"Serviço incrível, superou minhas expectativas.",positivo
Entrega atrasada e produto errado.,negativo
Muito satisfeito com a compra.,positivo
"Péssima qualidade, arrependido.",negativo
"Eu adorei esse produto, recomendo!",positivo
"Não recomendo, experiência ruim.",negativo
"Muito bom, voltarei a comprar.",positivo
"Não recomendo, experiência ruim.",negativo
Excelente qualidade e entrega rápida.,positivo
"Muito ruim, nunca mais compro aqui.",negativo
"Eu adorei esse produto, recomendo!",positivo
"Produto veio com defeito, não gostei.",negativo
"Loja confiável, recomendo muito.",positivo
Frustrado com o serviço.,negativo
Muito satisfeito com a compra.,positivo
Fui mal atendido e não resolveram meu problema.,negativo
"Eu adorei esse produto, recomendo!",positivo
Fui mal atendido e não resolveram meu problema.,negativo
"Tudo certinho, ótima experiência.",positivo
Frustrado com o serviço.,negativo
Atendimento perfeito e produto de primeira.,positivo
Demorou muito e veio quebrado.,negativo
"Eu adorei esse produto, recomendo!",positivo
"Não recomendo, experiência ruim.",negativo
Simplesmente maravilhoso!,positivo
"Produto veio com defeito, não gostei.",negativo
Muito satisfeito com a compra.,positivo
Entrega atrasada e produto errado.,negativo
"Tudo certinho, ótima experiência.",positivo
Fui mal atendido e não resolveram meu problema.,negativo
"Loja confiável, recomendo muito.",positivo
